## 
moduleName                     + offset   cost   jmp    instr  esp        ninstr taken                          - offset   nottaken                       - offset  
edi: 00000000 esi: 00000000 ebp: 00000000 esp: F68F1228 ebx: 00000000 edx: 00000000 ecx: 00000000 eax: 00000000 eflags: 00000000 
libsimple-accumulator.so       + 000006DD (   5) (   0) (   3) (F68F122C) (   5) libsimple-accumulator.so       + 000006D9 ???                            + 00000000
ld-2.23.so                     + 00009108 (   3) (   0) (   2) (F68F1078) (   3) ld-2.23.so                     + 00009010 ld-2.23.so                     + 00009114
ld-2.23.so                     + 00009010 (   4) (   0) (   2) (F68F1078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 00009024
ld-2.23.so                     + 00009024 (   4) (   0) (   2) (F68F1078) (   4) ld-2.23.so                     + 00009041 ld-2.23.so                     + 00009034
ld-2.23.so                     + 00009041 (   2) (   0) (   2) (F68F1078) (   2) ld-2.23.so                     + 00009108 ld-2.23.so                     + 0000904E
ld-2.23.so                     + 0000904E (   3) (   0) (   2) (F68F1078) (   3) ld-2.23.so                     + 00009120 ld-2.23.so                     + 0000905F
ld-2.23.so                     + 0000905F (   4) (   0) (   2) (F68F1078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 00009071
ld-2.23.so                     + 00009071 (  11) (   0) (   2) (F68F1078) (  11) ld-2.23.so                     + 00009160 ld-2.23.so                     + 000090A3
ld-2.23.so                     + 000090A3 (  15) (   0) (   2) (F68F1078) (  15) ld-2.23.so                     + 000095A0 ld-2.23.so                     + 000090D2
ld-2.23.so                     + 000090D2 (   4) (   0) (   2) (F68F1078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 000090E2
ld-2.23.so                     + 00009108 (   3) (   0) (   2) (F68F1078) (   3) ld-2.23.so                     + 00009010 ld-2.23.so                     + 00009114
ld-2.23.so                     + 00009010 (   4) (   0) (   2) (F68F1078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 00009024
ld-2.23.so                     + 00009024 (   4) (   0) (   2) (F68F1078) (   4) ld-2.23.so                     + 00009041 ld-2.23.so                     + 00009034
ld-2.23.so                     + 00009041 (   2) (   0) (   2) (F68F1078) (   2) ld-2.23.so                     + 00009108 ld-2.23.so                     + 0000904E
ld-2.23.so                     + 0000904E (   3) (   0) (   2) (F68F1078) (   3) ld-2.23.so                     + 00009120 ld-2.23.so                     + 0000905F
ld-2.23.so                     + 0000905F (   4) (   0) (   2) (F68F1078) (   4) ld-2.23.so                     + 00009108 ld-2.23.so                     + 00009071
ld-2.23.so                     + 00009071 (  11) (   0) (   2) (F68F1078) (  11) ld-2.23.so                     + 00009160 ld-2.23.so                     + 000090A3
