## stdin
moduleName                     + offset   cost   jmp    instr  esp        ninstr taken                          - offset   nottaken                       - offset  
edi: 00000000 esi: 00000000 ebp: 00000000 esp: F5B9C228 ebx: 00000000 edx: 00000000 ecx: 00000000 eax: 00000000 eflags: 00000000 
libc-2.23.so                   + 0006A12D (   7) (   0) (   0) (F5B9C150) (   7) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0006A518 (   2) (   0) (   1) (F5B9C160) (   2) libc-2.23.so                   + 0006A404 ???                            + 00000000
libc-2.23.so                   + 0006A404 (   4) (   0) (   0) (F5B9C170) (   4) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0006979E (   3) (   0) (   2) (F5B9C180) (   3) libc-2.23.so                   + 000697C0 libc-2.23.so                   + 000697A6
libc-2.23.so                   + 000697A6 (   5) (   0) (   2) (F5B9C180) (   5) libc-2.23.so                   + 000696A9 libc-2.23.so                   + 000697B7
libc-2.23.so                   + 000697B7 (   1) (   0) (   1) (F5B9C180) (   1) libc-2.23.so                   + 000696A3 ???                            + 00000000
libc-2.23.so                   + 000696A3 (   6) (   0) (   2) (F5B9C180) (   6) libc-2.23.so                   + 00069768 libc-2.23.so                   + 000696B3
libc-2.23.so                   + 000696B3 (   2) (   0) (   2) (F5B9C180) (   2) libc-2.23.so                   + 0006965C libc-2.23.so                   + 000696B7
libc-2.23.so                   + 0006965C (   8) (   0) (   0) (F5B9C1A0) (   8) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0005FD60 (   3) (   0) (   2) (F5B9C1B0) (   3) libc-2.23.so                   + 0005FE10 libc-2.23.so                   + 0005FD6B
libc-2.23.so                   + 0005FD6B (   4) (   0) (   2) (F5B9C1B0) (   4) libc-2.23.so                   + 0005FDF0 libc-2.23.so                   + 0005FD79
libc-2.23.so                   + 0005FDF0 (   4) (   0) (   3) (F5B9C19C) (   4) libc-2.23.so                   + 0006ADD0 ???                            + 00000000
libc-2.23.so                   + 0006ADD0 (   3) (   0) (   3) (F5B9C190) (   3) libc-2.23.so                   + 0011FB55 ???                            + 00000000
libc-2.23.so                   + 0011FB55 (   2) (   0) (   0) (F5B9C194) (   2) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0006ADD7 (   6) (   0) (   2) (F5B9C190) (   6) libc-2.23.so                   + 0006ADFC libc-2.23.so                   + 0006ADEB
libc-2.23.so                   + 0006ADFC (   6) (   1) (   3) (F5B9C17C) (   6) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0006A3A0 (   5) (   0) (   3) (F5B9C16C) (   5) libc-2.23.so                   + 0011FB5D ???                            + 00000000
libc-2.23.so                   + 0011FB5D (   2) (   0) (   0) (F5B9C170) (   2) ???                            + 00000000 ???                            + 00000000
libc-2.23.so                   + 0006A3AC (   5) (   0) (   2) (F5B9C170) (   5) libc-2.23.so                   + 0006A530 libc-2.23.so                   + 0006A3C0
libc-2.23.so                   + 0006A3C0 (   2) (   0) (   2) (F5B9C170) (   2) libc-2.23.so                   + 0006A410 libc-2.23.so                   + 0006A3C5
libc-2.23.so                   + 0006A3C5 (   3) (   0) (   2) (F5B9C170) (   3) libc-2.23.so                   + 0006A558 libc-2.23.so                   + 0006A3D0
libc-2.23.so                   + 0006A3D0 (   3) (   0) (   2) (F5B9C170) (   3) libc-2.23.so                   + 0006A508 libc-2.23.so                   + 0006A3DC
libc-2.23.so                   + 0006A3DC (   2) (   0) (   2) (F5B9C170) (   2) libc-2.23.so                   + 0006A4C8 libc-2.23.so                   + 0006A3E5
libc-2.23.so                   + 0006A3E5 (   7) (   0) (   2) (F5B9C170) (   7) libc-2.23.so                   + 0006A468 libc-2.23.so                   + 0006A3F5
libc-2.23.so                   + 0006A3F5 (   2) (   0) (   2) (F5B9C170) (   2) libc-2.23.so                   + 0006A3FF libc-2.23.so                   + 0006A3FA
libc-2.23.so                   + 0006A3FA (   2) (   0) (   2) (F5B9C170) (   2) libc-2.23.so                   + 0006A468 libc-2.23.so                   + 0006A3FF
libc-2.23.so                   + 0006A468 (   8) (   0) (   3) (F5B9C15C) (   8) libc-2.23.so                   + 0006A110 ???                            + 00000000
